mymodem.lan,192.168.1.1,00:1A:2B:2C:60:5B,80;443;8080
192.168.1.5,192.168.1.5,00:1A:2B:11:48:18,
OWA0130PXM-REPEATER-DD83.lan,192.168.1.16,00:1A:2B:17:15:3B,80
OWA0130PXM-REPEATER-55D3.lan,192.168.1.62,00:1A:2B:59:15:47,80
Electrolux_Appliance.lan,192.168.1.52,00:1A:2B:46:5A:5A,
H2O-4439c47e6dd8.lan,192.168.1.44,00:1A:2B:5F:56:29,80
192.168.1.40,192.168.1.40,00:1A:2B:39:5B:57,
portablemartin.lan,192.168.1.48,00:1A:2B:4F:3A:36,80
braviafd414109a5dbf916.lan,192.168.1.27,00:1A:2B:5A:5E:16,80
iPhone.lan,192.168.1.11,00:1A:2B:3D:15:18,
SERVEUR.lan,192.168.1.60,00:1A:2B:16:1B:1A,443
192.168.1.75,192.168.1.75,00:1A:2B:44:56:22,22;443
192.168.1.17,192.168.1.17,00:1A:2B:11:4E:2A,
